,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2004-09-07,4.487672399152019,0,0.0,1.2,0.33702394465034596,20,0,1.2667467266044952,19.77198558921119,0.09699067696205659,5.385206878982422,1.580491888295145,5.385206878982422,17.85428732202957,0.3372063788864754,0.5652207896752837,0.5652207896752837,1.580491888295145,29.34876827970241,3,27.25,0.0,0,2004,9
2004-09-08,4.483573547947834,0,11.0,1.2,1.8148731303067556,20,0,1.1400720539440456,19.79478703029007,0.5738888628901248,5.3802882575374005,4.437544951048091,5.3802882575374005,8.434779210324713,6.9224628689172665,7.127675838627193,7.127675838627193,4.437544951048091,82.47782904255003,3,27.65,11.0,0,2004,9
2004-09-09,4.479474696743649,0,0.0,1.2,1.117488524800255,20,0,1.0260648485496482,19.815308327261064,0.3503848666506186,5.375369636092379,3.4523737894912396,5.375369636092379,12.872324161372806,3.49061037639702,3.675302049135953,3.675302049135953,3.4523737894912396,64.22579326099964,3,27.4,0.0,0,2004,9
2004-09-10,4.475375845539465,0,0.0,1.2,0.575692530551766,20,0,0.923458363694678,19.833777494534957,0.17692441818699503,5.370451014647357,2.2708675033194696,5.370451014647357,16.324697950864042,1.2382120403514438,1.4044345458164833,1.4044345458164833,2.2708675033194696,42.28448406150452,3,15.9,0.0,0,2004,9
2004-09-11,4.47127699433528,0,0.0,1.2,0.2197865556165636,20,0,0.8311125273252173,19.85039974508146,0.0632145602613807,5.365532393202336,1.2548342908979482,5.365532393202336,18.595565454183514,0.0,0.14960025491853512,0.14960025491853512,1.261281240811912,23.386948376040262,3,25.2,0.0,0,2004,9
2004-09-12,4.51645697402971,0,0.0,1.2,0.02364820901252041,20,0,0.7480012745926956,19.865359770573313,0.0007530709569133651,5.419748368835652,0.014960025491853912,5.419748368835652,19.85039974508146,0.0,0.13464022942668122,0.13464022942668122,0.6155264762534409,0.27602804546934784,3,22.75,0.0,0,2004,9
2004-09-13,4.561636953724138,0,14.7,1.2,2.3684585073014413,20,0,0.6732011471334332,19.87882379351598,0.740157676116726,5.473964344468965,4.928502307016528,5.473964344468965,5.165359770573312,9.78496171592614,9.906137922410153,9.906137922410153,4.928502307016528,90.03533813654475,3,18.5,14.7,0,2004,9
2004-09-14,4.606816933418568,0,0.0,1.2,1.5972517374008621,20,0,0.6058810324200969,19.89094141416438,0.49253975126577076,5.5281803201022806,4.196006200768481,5.5281803201022806,10.093862077589838,5.601073135806062,5.710131721641672,5.710131721641672,4.196006200768481,75.90212253949863,3,21.25,0.0,0,2004,9
2004-09-15,4.651996913112997,0,0.0,1.2,0.9297230299890982,20,0,0.5452929291780961,19.901847272747943,0.2819828188549228,5.582396295735596,3.0389545864770757,5.582396295735596,14.28986827835832,2.573024407912548,2.6711771351645965,2.6711771351645965,3.0389545864770757,54.43817359936519,3,23.6,0.0,0,2004,9
2004-09-16,4.697176892807425,0,0.0,1.2,0.43914470305617376,20,0,0.49076363626028296,19.91166254547315,0.1297149183168009,5.63661227136891,1.8485568616234536,5.63661227136891,17.328822864835395,0.7342828190143,0.822620273541143,0.822620273541143,1.8485568616234536,32.79552987905823,3,25.45,0.0,0,2004,9
2004-09-17,4.742356872501855,0,0.0,1.2,0.13654056176905183,20,0,0.44168727263425467,19.920496290925833,0.03730411901461958,5.690828247002226,0.7431165644669852,5.690828247002226,19.17737972645885,0.0,0.07950370907415782,0.07950370907415782,0.97525543075747,13.058144301902608,3,27.05,0.0,0,2004,9
